PROBAB  STACK VIRADA NPARTI BIGBLI NRAISE  NFOLD POSICA    POT STACKM POTTOT DEALER  NJOGO  SAIDA 
0.8149 0.2837 0.8000 0.2000 0.0000 0.4000 0.0762 0.0000 0.0000 0.0762 0.1905 0.7000 1.0000 0.0000 
0.6383 0.2837 1.0000 0.2000 0.0000 0.4000 0.0762 0.0000 0.0000 0.0762 0.1905 0.7000 1.0000 0.2686 
0.5184 0.4402 0.0000 0.7000 0.0000 0.3000 0.0707 0.2000 0.0000 0.0000 0.1053 0.8000 1.0000 0.1607 
0.9167 0.3976 0.6000 0.3000 0.0000 0.3000 0.0761 0.0000 0.0000 0.0761 0.1895 0.8000 1.0000 0.0000 
0.7912 0.3976 0.8000 0.3000 0.0000 0.3000 0.0761 0.0000 0.0000 0.0761 0.1895 0.8000 1.0000 0.0000 
0.6978 0.3976 1.0000 0.3000 0.0000 0.3000 0.0761 0.0000 0.0000 0.0761 0.1895 0.8000 1.0000 0.0000 
0.2025 0.5108 0.0000 0.8000 0.0000 0.1000 0.0662 0.0000 0.0000 0.0000 0.0350 1.0000 1.0000 0.0000 
0.1892 0.4984 0.0000 0.2000 0.0000 0.9000 0.1485 0.5000 0.0000 0.0743 0.1603 0.2000 1.0000 0.0000 
0.1756 0.5159 0.0000 0.3000 0.0000 0.8000 0.1537 0.4000 0.0000 0.0000 0.2010 0.3000 1.0000 0.0000 
0.2052 0.4837 0.0000 0.4000 0.0000 0.4000 0.1441 0.3000 0.0000 0.0000 0.1259 0.4000 1.0000 0.0000 
0.2570 0.4885 0.0000 0.5000 0.0000 0.3000 0.1456 0.2000 0.0000 0.0000 0.1372 0.6000 1.0000 0.0000 
0.1303 0.5316 0.0000 0.6000 0.0000 0.2000 0.1584 0.1000 0.0000 0.0000 0.2376 0.7000 1.0000 0.0000 
0.3982 0.4761 0.0000 0.7000 0.0000 0.1000 0.1419 0.0000 0.0000 0.0000 0.1084 0.8000 1.0000 0.2980 
0.1568 0.6109 0.0000 0.3000 0.0000 0.9000 0.1688 0.3000 0.0000 0.0844 0.3184 1.0000 1.0000 0.0000 
0.2830 0.6037 0.0000 0.4000 0.0000 0.8000 0.3336 0.1000 0.0000 0.0000 0.3029 0.3000 1.0000 0.0000 
0.4382 0.6800 0.0000 0.4000 0.0000 0.1000 0.3757 0.0000 0.0000 0.0000 0.4676 0.6000 1.0000 0.5525 
0.3376 0.8622 0.0000 0.2000 0.0000 0.9000 0.3375 0.1000 0.0000 0.1688 0.3184 0.8000 1.0000 0.1957 
0.3283 0.8225 0.0000 0.3000 0.0000 0.8000 0.8006 0.0000 0.0000 0.0000 0.5637 0.3000 1.0000 0.9734 
